Zscore,longitude,latitude,year,group
0.08,-118.4530614,36.64612971,2006,positive
0.04,-118.4252046,36.81091124,2006,positive
0.0045,-118.4530614,36.64612971,2006,positive
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5427393,37.06918702,2006,negative
0,-118.5368276,37.08491453,2006,negative
0,-118.535686,37.08084565,2006,negative
0,-118.535686,37.08084565,2006,negative
0,-118.535686,37.08084565,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5355966,37.08687618,2006,negative
0,-118.5347391,37.08234071,2006,negative
0,-118.5347391,37.08234071,2006,negative
0,-118.5347391,37.08234071,2006,negative
0,-118.5347391,37.08234071,2006,negative
0,-118.5347391,37.08234071,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5329916,37.08348275,2006,negative
0,-118.5254793,37.08437309,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5197552,37.0837044,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5189264,37.08384656,2006,negative
0,-118.5182907,37.08372281,2006,negative
0,-118.5182907,37.08372281,2006,negative
0,-118.5182907,37.08372281,2006,negative
0,-118.5182907,37.08372281,2006,negative
0,-118.5182907,37.08372281,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4610758,36.6419294,2006,negative
0,-118.4598532,36.64703823,2006,negative
0,-118.4583957,36.65046822,2006,negative
0,-118.4583957,36.65046822,2006,negative
0,-118.4534131,36.64944199,2006,negative
0,-118.4534131,36.64944199,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.4530614,36.64612971,2006,negative
0,-118.43037,36.82588259,2006,negative
0,-118.43037,36.82588259,2006,negative
0,-118.4287367,36.82718624,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4286489,36.82408687,2006,negative
0,-118.4276806,36.81976438,2006,negative
0,-118.4276806,36.81976438,2006,negative
0,-118.4276806,36.81976438,2006,negative
0,-118.4276806,36.81976438,2006,negative
